"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"se1",0.650775958982038,0.797452493012194,0.999930361715536,0.801647250059818,0.0940930999190006,NA,0.000616546960519327,0.7,23291,0.161260714344044,1.00016719134462
"se2",0.185589659018954,0.288607930148336,0.391092325753163,0.289390868795143,0.0529564967622009,NA,0.000313983430925706,0.6,28446,0.0216116857277944,1.00023637834314
"sp1",0.898274223910266,0.950860268522962,0.988214301160856,0.947226263251483,0.0244766073372538,NA,0.000141315758350122,0.6,30000,0.00211162637803046,0.999999893187102
"sp2",0.804918898344071,0.881127224711655,0.958781876267275,0.880663636629175,0.0398651107156629,NA,0.000250868882283245,0.6,25252,0.0904073939896361,1.00006925230831
